name,slug,aliases,category_key,category_name,market_status,recruitment_status,is_active,website_url,website_url_status,source_urls
Krowa Mać Burgers,krowa-mac-burgers,,gastronomy,Gastronomia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2196/krowa-mac-burgers/
Kurcze Pieczone,kurcze-pieczone,,gastronomy,Gastronomia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/230/kurcze-pieczone/
La Mancha,la-mancha,,education,Edukacja,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1934/la-mancha/
Lewiatan,lewiatan,Polska Sieć Handlowa Lewiatan,food-retail,Artykuły spożywcze,listed,listed_offer,True,https://www.lewiatan.pl,unverified_seed,https://franchising.pl/franczyza/300/polska-siec-handlowa-lewiatan/ | https://www.lewiatan.pl
Lingotot,lingotot,,education,Edukacja,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2403/lingotot/
Lodolandia,lodolandia,Lodolandia & Kołacz,gastronomy,Gastronomia,listed,listed_offer,True,https://lodolandia.pl,unverified_seed,https://franchising.pl/franczyza/1475/lodolandia-kolacz/ | https://lodolandia.pl
Lody Bonano,lody-bonano,,gastronomy,Gastronomia,uncertain,unknown,True,https://lodybonano.pl,unverified_seed,https://lodybonano.pl
LucArt,lucart,,automotive,Motoryzacja,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1302/lucart/
Lviv Croissants,lviv-croissants,,gastronomy,Gastronomia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2253/lviv-croissants/
Mail Boxes Etc.,mail-boxes-etc,,services,Usługi dla konsumentów,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/25/mail-boxes-etc/
Makarun,makarun,,gastronomy,Gastronomia,uncertain,unknown,True,https://makarun.pl,unverified_seed,https://makarun.pl
MathRiders,mathriders,MathRiders Polska,education,Edukacja,listed,listed_offer,True,https://mathriders.pl,unverified_seed,https://franchising.pl/franczyza/1313/mathriders-polska/ | https://mathriders.pl
Matplus - matematyka dla dzieci 4-15 lat,matplus-matematyka-dla-dzieci-4-15-lat,,education,Edukacja,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2309/matplus-matematyka-dla-dzieci-4-15-lat/
Mazfor,mazfor,,finance,Finanse i ubezpieczenia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2310/mazfor/
MałyInżynier.pl,mayinzynier-pl,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1033/malyinzynier-pl/
McDonald’s,mcdonalds,McDonald's,gastronomy,Gastronomia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/38/mcdonalds/ | https://franczyzawpolsce.pl/baza-sieci/gastronomia/franczyza-mcdonald-s/
Metrohouse,metrohouse,METROHOUSE,property,Nieruchomości,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/950/metrohouse/ | https://franczyzawpolsce.pl/baza-sieci/nieruchomosci/metrohouse/
mFinanse,mfinanse,,finance,Finanse i ubezpieczenia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1911/mfinanse/
Millennium Bank,millennium-bank,,finance,Finanse i ubezpieczenia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2078/millennium-bank/
Ministerstwo Śledzia i Wódki 2.0,ministerstwo-sledzia-i-wodki-2-0,,food-retail,Artykuły spożywcze,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1184/ministerstwo-sledzia-wodki-2-0/
Mito Sushi,mito-sushi,,gastronomy,Gastronomia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2424/mito-sushi/
Mokra Włoszka,mokra-woszka,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2402/mokra-wloszka/
Molton,molton,,fashion,Odzież i obuwie,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2412/molton/
Monetia,monetia,MONETIA,finance,Finanse i ubezpieczenia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/192/monetia/ | https://franczyzawpolsce.pl/baza-sieci/finanse-i-ubezpieczenia/monetia/
Moodo,moodo,,fashion,Odzież i obuwie,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/334/moodo/
Mr. Kebab,mr-kebab,,gastronomy,Gastronomia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1853/mr-kebab/
Mydlarnia u Franciszka,mydlarnia-u-franciszka,,beauty,Uroda i kosmetyki,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/731/mydlarnia-franciszka/
Nano Gym,nano-gym,,health-fitness,Sport i zdrowie,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/2378/nano-gym/
Nasz Sklep,nasz-sklep,,food-retail,Artykuły spożywcze,uncertain,unknown,True,https://www.naszsklep.pl,unverified_seed,https://www.naszsklep.pl
Nest Bank,nest-bank,,finance,Finanse i ubezpieczenia,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1791/nest-bank/
New York Pizza Department,new-york-pizza-department,,other,Pozostałe,listed,listed_offer,True,,missing,https://franchising.pl/franczyza/1589/new-york-pizza-department/
NEXTERIO,nexterio,,home-garden,Dom i ogród,listed,listed_offer,True,,missing,https://franczyzawpolsce.pl/baza-sieci/wszystko-dla-domu-i-ogrodu/nexterio/
